標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
吆,吆,5406,21510,E0101,61813,u2F83B-CL,Hanyo-Denshi,,
佩,佩,4F69,20329,E0102,9994,u2CF73-CL,Hanyo-Denshi,,
岍,岍,5C8D,23693,E0102,15944,uni5C8D-M,MSARG,,
岍,岍,5C8D,23693,E0103,15945,uni5C8D-CL,MSARG,,
巍,巍,5DCD,24013,E0103,16600,uni5DCDuE0101-JP,Moji-Joho,,
巓,巓,5DD3,24019,E0103,16614,uni5DD4-M,Hanyo-Denshi,,
庾,庾,5EBE,24254,E01EA,16881,u22214-CM,PUA,,
录,录,5F55,24405,E0104,17297,uni5F55uE0101-JP,MSARG,,
曁,曁,66C1,26305,E0107,20519,uni66C1uE0107-JP,Hanyo-Denshi,,
朓,朓,6713,26387,E0101,32782,uni8101-CL,Hanyo-Denshi,,
死,死,6B7B,27515,E0102,22661,u2DB7D-CL,Hanyo-Denshi,,
遨,遨,9068,36968,E0103,40499,uni9068uE0102-JP,Moji-Joho,,
邀,邀,9080,36992,E0103,40568,uni9080uE0102-JP,Moji-Joho,,
隶,隶,96B6,38582,E0104,43319,uni96B6uE0102-JP,MSARG,,
霆,霆,9706,38662,E0103,43485,uni9706uE0101-JP,Moji-Joho,,
霆,霆,9706,38662,E0104,43485,uni9706uE0101-JP,Moji-Joho,,
飢,飢,98E2,39138,E0103,44313,uni4DBF-CL,Hanyo-Denshi,,
饜,饜,995C,39260,E0103,44629,uni995CuE0102-JP,Hanyo-Denshi,,
